name,r,g,b
Animal,127,127,127
Archway,15,15,15
Bicyclist,255,255,255
Bridge,15,15,15
Building,31,31,31
Car,63,63,63
CartLuggagePram,63,63,63
Child,255,255,255
Column_Pole,15,15,15
Fence,15,15,15
LaneMkgsDriv,63,63,63
LaneMkgsNonDriv,63,63,63
Misc_Text,127,127,127
MotorcycleScooter,255,255,255
OtherMoving,127,127,127
ParkingBlock,31,31,31
Pedestrian,255,255,255
Road,15,15,15
RoadShoulder,15,15,15
Sidewalk,15,15,15
SignSymbol,63,63,63
Sky,0,0,0
SUVPickupTruck,63,63,63
TrafficCone,31,31,31
TrafficLight,63,63,63
Train,31,31,31
Tree,0,0,0
Truck_Bus,31,31,31
Tunnel,15,15,15
VegetationMisc,0,0,0
Void,0,0,0
Wall,0,0,0
